name,role,side,duty,score,position,1v1,Acceleration,Aerial Ability,Aggression,Agility,Anticipation,Balance,Bravery,Command of Area,Communication,Composure,Concentration,Corners,Crossing,Decisions,Determination,Dribbling,Eccentricity,Finishing,First Touch,Flair,Free Kick Taking,Handling,Heading,Jumping Reach,Kicking,Leadership,Long Shots,Long Throws,Marking,Natural Fitness,Off The Ball,Pace,Passing,Penalty Taking,Positioning,Punching,Reflexes,Stamina,Strength,Tackling,Teamwork,Technique,Throwing,Vision,Work Rate
Francisco Fernandes,Attacking Midfielder,"L,C",Support,7.97,AM (LC),4,12,2,7,10,8,10,7,3,3,5,3,4,4,5,14,5,1,5,12,14,2,1,1,6,2,14,3,4,1,6,10,10,5,2,1,1,2,10,3,5,15,13,2,3,14
Francisco Fernandes,Attacking Midfielder,"L,C",Attack,7.76,AM (LC),4,12,2,7,10,8,10,7,3,3,5,3,4,4,5,14,5,1,5,12,14,2,1,1,6,2,14,3,4,1,6,10,10,5,2,1,1,2,10,3,5,15,13,2,3,14
Francisco Fernandes,Advanced Playmaker,"L,C",Support,6.7,AM (LC),4,12,2,7,10,8,10,7,3,3,5,3,4,4,5,14,5,1,5,12,14,2,1,1,6,2,14,3,4,1,6,10,10,5,2,1,1,2,10,3,5,15,13,2,3,14
Francisco Fernandes,Advanced Playmaker,"L,C",Attack,8.13,AM (LC),4,12,2,7,10,8,10,7,3,3,5,3,4,4,5,14,5,1,5,12,14,2,1,1,6,2,14,3,4,1,6,10,10,5,2,1,1,2,10,3,5,15,13,2,3,14
Francisco Fernandes,Winger,"L,C",Support,8.77,AM (LC),4,12,2,7,10,8,10,7,3,3,5,3,4,4,5,14,5,1,5,12,14,2,1,1,6,2,14,3,4,1,6,10,10,5,2,1,1,2,10,3,5,15,13,2,3,14
Francisco Fernandes,Winger,"L,C",Attack,8.34,AM (LC),4,12,2,7,10,8,10,7,3,3,5,3,4,4,5,14,5,1,5,12,14,2,1,1,6,2,14,3,4,1,6,10,10,5,2,1,1,2,10,3,5,15,13,2,3,14
Francisco Fernandes,Inverted Winger,"L,C",Support,6.39,AM (LC),4,12,2,7,10,8,10,7,3,3,5,3,4,4,5,14,5,1,5,12,14,2,1,1,6,2,14,3,4,1,6,10,10,5,2,1,1,2,10,3,5,15,13,2,3,14
Francisco Fernandes,Inverted Winger,"L,C",Attack,8.5,AM (LC),4,12,2,7,10,8,10,7,3,3,5,3,4,4,5,14,5,1,5,12,14,2,1,1,6,2,14,3,4,1,6,10,10,5,2,1,1,2,10,3,5,15,13,2,3,14
Fernando Vital,Full Back,"L,L",Defend,8.51,D/M (L),1,11,2,14,10,8,14,8,1,3,7,7,6,10,8,11,5,3,5,9,4,7,2,4,6,4,1,4,4,10,14,5,10,7,3,8,2,2,12,5,9,5,12,1,6,7
Fernando Vital,Full Back,"L,L",Support,8.85,D/M (L),1,11,2,14,10,8,14,8,1,3,7,7,6,10,8,11,5,3,5,9,4,7,2,4,6,4,1,4,4,10,14,5,10,7,3,8,2,2,12,5,9,5,12,1,6,7
Fernando Vital,Full Back,"L,L",Attack,8.25,D/M (L),1,11,2,14,10,8,14,8,1,3,7,7,6,10,8,11,5,3,5,9,4,7,2,4,6,4,1,4,4,10,14,5,10,7,3,8,2,2,12,5,9,5,12,1,6,7
Fernando Vital,Inverted Wing-Back,"L,L",Defend,8.14,D/M (L),1,11,2,14,10,8,14,8,1,3,7,7,6,10,8,11,5,3,5,9,4,7,2,4,6,4,1,4,4,10,14,5,10,7,3,8,2,2,12,5,9,5,12,1,6,7
Fernando Vital,Inverted Wing-Back,"L,L",Support,6.85,D/M (L),1,11,2,14,10,8,14,8,1,3,7,7,6,10,8,11,5,3,5,9,4,7,2,4,6,4,1,4,4,10,14,5,10,7,3,8,2,2,12,5,9,5,12,1,6,7
Fernando Vital,Inverted Wing-Back,"L,L",Attack,7.35,D/M (L),1,11,2,14,10,8,14,8,1,3,7,7,6,10,8,11,5,3,5,9,4,7,2,4,6,4,1,4,4,10,14,5,10,7,3,8,2,2,12,5,9,5,12,1,6,7
Fernando Vital,No-Nonsense Full Back,"L,L",Defend,8.15,D/M (L),1,11,2,14,10,8,14,8,1,3,7,7,6,10,8,11,5,3,5,9,4,7,2,4,6,4,1,4,4,10,14,5,10,7,3,8,2,2,12,5,9,5,12,1,6,7
Fernando Vital,Central Midfielder,"L,L",Defend,7.66,D/M (L),1,11,2,14,10,8,14,8,1,3,7,7,6,10,8,11,5,3,5,9,4,7,2,4,6,4,1,4,4,10,14,5,10,7,3,8,2,2,12,5,9,5,12,1,6,7
Fernando Vital,Central Midfielder,"L,L",Support,7.82,D/M (L),1,11,2,14,10,8,14,8,1,3,7,7,6,10,8,11,5,3,5,9,4,7,2,4,6,4,1,4,4,10,14,5,10,7,3,8,2,2,12,5,9,5,12,1,6,7
Fernando Vital,Central Midfielder,"L,L",Attack,5.71,D/M (L),1,11,2,14,10,8,14,8,1,3,7,7,6,10,8,11,5,3,5,9,4,7,2,4,6,4,1,4,4,10,14,5,10,7,3,8,2,2,12,5,9,5,12,1,6,7
Fernando Vital,Box-To-Box Midfielder,"L,L",Support,7.62,D/M (L),1,11,2,14,10,8,14,8,1,3,7,7,6,10,8,11,5,3,5,9,4,7,2,4,6,4,1,4,4,10,14,5,10,7,3,8,2,2,12,5,9,5,12,1,6,7
Fernando Vital,Mezzala,"L,L",Support,7.3,D/M (L),1,11,2,14,10,8,14,8,1,3,7,7,6,10,8,11,5,3,5,9,4,7,2,4,6,4,1,4,4,10,14,5,10,7,3,8,2,2,12,5,9,5,12,1,6,7
Fernando Vital,Mezzala,"L,L",Attack,6.4,D/M (L),1,11,2,14,10,8,14,8,1,3,7,7,6,10,8,11,5,3,5,9,4,7,2,4,6,4,1,4,4,10,14,5,10,7,3,8,2,2,12,5,9,5,12,1,6,7
Fernando Vital,Carrilero,"L,L",Support,7.52,D/M (L),1,11,2,14,10,8,14,8,1,3,7,7,6,10,8,11,5,3,5,9,4,7,2,4,6,4,1,4,4,10,14,5,10,7,3,8,2,2,12,5,9,5,12,1,6,7
Fernando Vital,Wide Midfielder,"L,L",Defend,8.3,D/M (L),1,11,2,14,10,8,14,8,1,3,7,7,6,10,8,11,5,3,5,9,4,7,2,4,6,4,1,4,4,10,14,5,10,7,3,8,2,2,12,5,9,5,12,1,6,7
Fernando Vital,Wide Midfielder,"L,L",Support,8.55,D/M (L),1,11,2,14,10,8,14,8,1,3,7,7,6,10,8,11,5,3,5,9,4,7,2,4,6,4,1,4,4,10,14,5,10,7,3,8,2,2,12,5,9,5,12,1,6,7
Fernando Vital,Wide Midfielder,"L,L",Attack,7.6,D/M (L),1,11,2,14,10,8,14,8,1,3,7,7,6,10,8,11,5,3,5,9,4,7,2,4,6,4,1,4,4,10,14,5,10,7,3,8,2,2,12,5,9,5,12,1,6,7
Fernando Vital,Wide Playmaker,"L,L",Support,7.58,D/M (L),1,11,2,14,10,8,14,8,1,3,7,7,6,10,8,11,5,3,5,9,4,7,2,4,6,4,1,4,4,10,14,5,10,7,3,8,2,2,12,5,9,5,12,1,6,7
Fernando Vital,Wide Playmaker,"L,L",Attack,6.89,D/M (L),1,11,2,14,10,8,14,8,1,3,7,7,6,10,8,11,5,3,5,9,4,7,2,4,6,4,1,4,4,10,14,5,10,7,3,8,2,2,12,5,9,5,12,1,6,7
Fernando Vital,Defensive Winger,"L,L",Defend,8.27,D/M (L),1,11,2,14,10,8,14,8,1,3,7,7,6,10,8,11,5,3,5,9,4,7,2,4,6,4,1,4,4,10,14,5,10,7,3,8,2,2,12,5,9,5,12,1,6,7
